Date,Price,Open,High,Low,Vol.,Change %,RollingMean,RollingStd,ZScore,Signal,PrevSignal
2018-07-06,6617.7,"6,546.5","6,638.2","6,458.3",132.69K,1.09%,6402.76,267.31282758130527,0.8040766391378055,0,0.0
2018-07-07,6765.5,"6,617.7","6,805.9","6,531.1",114.57K,2.23%,6418.02,279.2168476292914,1.2444807788294323,0,0.0
2018-07-08,6714.8,"6,765.4","6,784.0","6,694.3",267.60K,-0.75%,6417.77,278.9345199524282,1.0648735769622837,0,0.0
2018-07-09,6667.1,"6,715.1","6,793.8","6,637.7",289.48K,-0.71%,6413.504999999999,274.1598908724558,0.9249894256705048,0,0.0
2018-07-10,6307.2,"6,668.4","6,686.8","6,291.5",315.27K,-5.40%,6390.594999999999,262.0850172930774,-0.3181982734508734,0,0.0
2018-07-11,6389.1,"6,307.2","6,409.7","6,296.6",243.82K,1.30%,6373.65,249.7893860204233,0.0618521076741727,0,0.0
2018-07-12,6250.6,"6,389.1","6,389.4","6,088.8",289.24K,-2.17%,6383.395,240.3560746170193,-0.5524927972450631,0,0.0
2018-07-13,6230.2,"6,250.8","6,333.8","6,144.5",233.22K,-0.33%,6386.54,237.77738903621827,-0.657505747849668,0,0.0
2018-07-14,6254.8,"6,229.5","6,313.5","6,192.5",243.71K,0.40%,6391.55,233.65301646951215,-0.5852695679528862,0,0.0
2018-07-15,6362.9,"6,254.8","6,399.6","6,238.5",180.67K,1.73%,6396.865,231.62188396526332,-0.1466398572472276,0,0.0
2018-07-16,6729.9,"6,362.8","6,749.2","6,344.1",312.12K,5.77%,6429.254999999999,230.5803101901966,1.3038624145834925,0,0.0
2018-07-17,7322.0,"6,729.8","7,453.2","6,666.0",337.75K,8.80%,6487.61,295.9191886488015,2.8196549328548577,-1,0.0
2018-07-18,7383.6,"7,321.6","7,581.2","7,249.3",333.32K,0.84%,6562.615,323.5599143655607,2.5373507766244643,-1,-1.0
2018-07-19,7477.5,"7,383.9","7,558.4","7,288.8",247.25K,1.27%,6625.825,371.6402375742551,2.2916652016988133,-1,-1.0
2018-07-20,7339.4,"7,477.6","7,683.6","7,292.0",258.85K,-1.85%,6672.85,399.847350477965,1.6670111711462543,-1,-1.0
2018-07-21,7408.7,"7,339.3","7,460.8","7,223.5",160.77K,0.95%,6724.945,424.9588840483474,1.608990953398234,-1,-1.0
2018-07-22,7412.3,"7,409.0","7,575.3","7,343.7",204.16K,0.05%,6764.585000000001,450.7959431880178,1.4368252638197556,0,-1.0
2018-07-23,7723.0,"7,412.4","7,809.6","7,379.2",272.15K,4.19%,6825.06,494.3626299537358,1.816358975361936,-1,0.0
2018-07-24,8407.0,"7,723.1","8,479.8","7,701.9",345.32K,8.86%,6915.49,603.982463060185,2.469459117145552,-1,-1.0
2018-07-25,8173.7,"8,404.9","8,484.6","8,062.1",269.23K,-2.78%,6996.85,658.7728340195443,1.7864276412543825,-1,-1.0
2018-07-26,7937.0,"8,173.9","8,304.3","7,861.0",235.45K,-2.90%,7062.8150000000005,684.3648982624117,1.277366799816205,0,-1.0
2018-07-27,8187.4,"7,936.9","8,273.8","7,808.3",243.22K,3.15%,7133.910000000001,724.5309262223858,1.4540304103963717,0,0.0
2018-07-28,8234.1,"8,186.8","8,234.1","8,077.4",147.14K,0.57%,7209.875,757.1868787440403,1.3526713533373704,0,0.0
2018-07-29,8215.6,"8,231.5","8,275.4","8,113.3",155.24K,-0.22%,7287.3,777.6581876648262,1.1937121150714372,0,0.0
2018-07-30,8177.1,"8,214.7","8,262.0","7,874.4",242.21K,-0.47%,7380.795,765.9398976524375,1.0396442363697598,0,0.0
2018-07-31,7729.4,"8,176.4","8,176.5","7,649.8",266.94K,-5.48%,7447.81,732.5104949131661,0.3844177004363326,0,0.0
2018-08-01,7606.4,"7,728.5","7,753.2","7,449.2",237.69K,-1.59%,7515.6,676.4765604528676,0.1342249019525719,0,0.0
2018-08-02,7535.6,"7,606.4","7,701.4","7,470.6",216.34K,-0.93%,7580.870000000001,605.1417225045934,-0.0748089221358502,0,0.0
2018-08-03,7419.0,"7,535.6","7,535.6","7,293.5",226.46K,-1.55%,7639.08,521.0165040319944,-0.4224050453236417,0,0.0
2018-08-04,7014.3,"7,418.9","7,484.2","6,949.7",222.57K,-5.46%,7671.65,452.95545906278,-1.451246445644207,0,0.0
2018-08-05,7027.1,"7,014.0","7,087.6","6,887.9",177.64K,0.18%,7686.51,424.4091594577287,-1.5537129331575543,1,0.0
2018-08-06,6943.6,"7,027.8","7,143.6","6,852.5",168.87K,-1.19%,7667.590000000001,449.2231867053625,-1.6116487782160116,1,1.0
2018-08-07,6724.9,"6,943.6","7,149.7","6,689.9",232.48K,-3.15%,7634.655000000001,493.1396615191225,-1.8448222095896527,1,1.0
2018-08-08,6283.6,"6,725.2","6,725.2","6,138.8",311.54K,-6.56%,7574.960000000001,578.1062481112792,-2.2337762378783834,1,1.0
2018-08-09,6538.8,"6,283.7","6,620.2","6,197.0",237.66K,4.06%,7534.93,621.3745739551398,-1.6031071140543898,1,1.0
2018-08-10,6152.3,"6,539.5","6,570.2","6,043.4",298.82K,-5.91%,7472.109999999999,694.0660334882713,-1.901562583846428,1,1.0
2018-08-11,6231.6,"6,152.8","6,469.6","6,009.8",247.34K,1.29%,7413.075,747.5718841514313,-1.5804165793916816,1,1.0
2018-08-12,6313.0,"6,232.1","6,453.0","6,169.8",216.33K,1.31%,7342.575,782.4764068244352,-1.3157904711509163,0,1.0
2018-08-13,6255.3,"6,313.0","6,524.1","6,159.6",234.09K,-0.91%,7234.990000000001,776.3203665199834,-1.261966118951205,0,0.0
2018-08-14,6190.2,"6,255.3","6,255.3","5,898.3",3.66M,-1.04%,7135.815,776.7844985139806,-1.2173453535813326,0,0.0
2018-08-15,6256.9,"6,190.2","6,592.8","6,177.9",3.74M,1.08%,7051.81,776.4272548024298,-1.0238048639885435,0,0.0
2018-08-16,6306.7,"6,256.9","6,470.9","6,249.8",3.50M,0.80%,6957.775,744.9026427909084,-0.8740403948100293,0,0.0
2018-08-17,6581.7,"6,306.7","6,581.7","6,291.8",3.20M,4.36%,6875.155000000001,685.1286705699009,-0.4283210039304008,0,0.0
2018-08-18,6379.1,"6,581.8","6,626.4","6,295.5",3.15M,-3.08%,6783.33,615.5556224386446,-0.6566912643873887,0,0.0
2018-08-19,6481.5,"6,379.1","6,534.8","6,316.0",2.71M,1.61%,6698.55,523.3505079872989,-0.4147316123466297,0,0.0
2018-08-20,6268.1,"6,474.2","6,516.4","6,255.9",3.10M,-3.29%,6625.485000000001,471.2740249635032,-0.7583379967263784,0,0.0
2018-08-21,6482.2,"6,268.1","6,484.1","6,257.4",1.46M,3.41%,6569.275,411.35399005189726,-0.2116789969364689,0,0.0
2018-08-22,6359.6,"6,482.2","6,840.8","6,304.8",3.63M,-1.89%,6510.475,344.5867698762121,-0.4378432754519267,0,0.0
2018-08-23,6521.2,"6,359.9","6,550.2","6,359.2",2.76M,2.54%,6465.585,270.5215144183456,0.2055843880645827,0,0.0
2018-08-24,6680.4,"6,521.2","6,721.2","6,472.8",3.70M,2.44%,6448.89,243.86566383982236,0.9493341389465204,0,0.0
2018-08-25,6734.8,"6,680.6","6,783.4","6,655.3",3.59M,0.81%,6434.275,214.3637510475945,1.4019394535285772,0,0.0
2018-08-26,6712.7,"6,734.9","6,892.7","6,573.1",3.37M,-0.33%,6422.7300000000005,190.3635472071801,1.5232433113069368,-1,0.0
2018-08-27,6897.6,"6,712.7","6,902.9","6,650.4",3.26M,2.75%,6431.365,207.9006424511865,2.242585662569412,-1,-1.0
2018-08-28,7074.6,"6,897.6","7,129.7","6,861.2",3.79M,2.57%,6470.915,249.40598750892173,2.4204912080485053,-1,-1.0
2018-08-29,7029.1,"7,074.6","7,121.4","6,926.7",4.11M,-0.64%,6495.43,278.7949635202327,1.9142024420440096,-1,-1.0
2018-08-30,6993.7,"7,029.2","7,050.2","6,798.0",3.74M,-0.50%,6537.5,287.6349202869126,1.5860383000261078,-1,-1.0
2018-08-31,7033.8,"6,993.7","7,080.2","6,698.0",4.21M,0.57%,6577.610000000001,298.4614704923548,1.528471997566215,-1,-1.0
2018-09-01,7189.6,"7,032.4","7,264.3","7,020.4",3.52M,2.21%,6621.4400000000005,321.0671079221782,1.7695988968689786,-1,-1.0
2018-09-02,7293.9,"7,189.6","7,334.8","7,117.3",3.90M,1.45%,6673.37,342.03778815556905,1.8142147490375071,-1,-1.0
2018-09-03,7264.2,"7,289.8","7,330.7","7,182.8",3.87M,-0.41%,6727.07,346.46790403492514,1.5503023331877102,-1,-1.0
2018-09-04,7377.5,"7,264.2","7,409.9","7,234.5",3.92M,1.56%,6783.1,356.8850839667205,1.665522115391708,-1,-1.0
2018-09-05,6706.8,"7,377.5","7,407.5","6,691.8",4.55M,-9.09%,6803.1050000000005,339.56884655791083,-0.2836096449253516,0,-1.0
2018-09-06,6514.0,"6,706.8","6,732.9","6,337.8",4.02M,-2.87%,6799.719999999999,342.2191812275262,-0.8349035228683951,0,0.0
2018-09-07,6390.9,"6,514.1","6,540.6","6,316.2",3.30M,-1.89%,6800.31,341.4651895643961,-1.1989801962603603,0,0.0
2018-09-08,6184.3,"6,390.9","6,484.3","6,132.3",3.46M,-3.23%,6785.45,361.9234543962904,-1.6609865779568034,1,0.0
2018-09-09,6238.5,"6,184.3","6,432.6","6,148.8",2.84M,0.88%,6783.969999999999,364.2037184411415,-1.497705740992186,0,1.0
2018-09-10,6321.0,"6,238.5","6,358.5","6,237.3",3.11M,1.32%,6775.909999999999,372.91310106700047,-1.2198820548229177,0,0.0
2018-09-11,6293.9,"6,320.7","6,391.8","6,189.6",3.30M,-0.43%,6772.625,377.03994186716665,-1.2696930665469337,0,0.0
2018-09-12,6338.0,"6,293.9","6,353.5","6,204.5",3.04M,0.70%,6763.465000000001,385.5979284108972,-1.103390263929585,0,0.0
2018-09-13,6482.9,"6,338.0","6,867.3","6,337.8",3.53M,2.29%,6753.589999999999,390.3369730455397,-0.6934777351168803,0,0.0
2018-09-14,6483.7,"6,482.9","6,579.4","6,412.1",3.20M,0.01%,6741.034999999999,394.9837495325288,-0.6515078159659993,0,0.0
2018-09-15,6519.0,"6,482.6","6,562.9","6,470.3",3.16M,0.54%,6731.35,398.0777344082656,-0.5334385263110842,0,0.0
2018-09-16,6500.2,"6,519.0","6,520.8","6,406.2",3.34M,-0.29%,6711.4800000000005,399.2589643722701,-0.52918035373904,0,0.0
2018-09-17,6251.9,"6,500.2","6,533.5","6,215.9",3.26M,-3.82%,6670.344999999999,402.2478006547924,-1.0402667194670574,0,0.0
2018-09-18,6342.0,"6,251.9","6,388.8","6,228.8",2.82M,1.44%,6635.99,399.3259147745924,-0.7362156802819783,0,0.0
2018-09-19,6390.4,"6,342.0","6,478.7","6,144.5",3.54M,0.76%,6605.825,393.62833107686055,-0.5472802209400317,0,0.0
2018-09-20,6489.2,"6,390.4","6,537.5","6,346.4",5.18M,1.55%,6578.594999999999,381.1016806921147,-0.2345699442669741,0,0.0
2018-09-21,6766.7,"6,490.9","6,780.5","6,489.8",7.73M,4.28%,6557.45,356.34441426657185,0.5872127964477243,0,0.0
2018-09-22,6729.6,"6,766.7","6,833.3","6,635.5",7.31M,-0.55%,6529.235,314.89353133874675,0.6362944298924261,0,0.0
2018-09-23,6704.1,"6,729.6","6,789.4","6,666.4",7.34M,-0.38%,6501.23,267.41643082227233,0.7586295254042571,0,0.0
2018-09-24,6584.1,"6,713.3","6,728.1","6,559.1",7.57M,-1.79%,6461.56,172.6364522098911,0.7098153282889349,0,0.0
2018-09-25,6445.1,"6,590.6","6,590.6","5,977.0",7.34M,-2.11%,6448.475,162.70209740516285,-0.0207434326528411,0,0.0
2018-09-26,6468.1,"6,443.0","6,551.9","6,384.1",8.64M,0.36%,6446.179999999999,162.05160841384077,0.1352655503672792,0,0.0
2018-09-27,6689.2,"6,463.7","6,738.3","6,428.8",9.34M,3.42%,6461.094999999999,170.2177320067235,1.3400777775078712,0,0.0
2018-09-28,6636.0,"6,685.7","6,809.2","6,538.6",9.57M,-0.79%,6483.679999999999,161.29118682497017,0.94437893972034,0,0.0
2018-09-29,6603.9,"6,633.9","6,648.4","6,464.4",9.42M,-0.48%,6501.95,152.5133039927199,0.6684662736364713,0,0.0
2018-09-30,6635.2,"6,603.9","6,673.9","6,533.5",9.34M,0.47%,6517.66,149.03592431652513,0.7886689101237527,0,0.0
2018-10-01,6608.2,"6,635.2","6,674.7","6,072.7",9.19M,-0.41%,6533.375,140.5276068589817,0.5324576549224672,0,0.0
2018-10-02,6549.9,"6,608.2","6,645.7","6,034.9",9.34M,-0.88%,6543.97,132.79758280947283,0.044654427245918,0,0.0
2018-10-03,6507.8,"6,549.9","6,563.5","6,429.6",9.21M,-0.64%,6545.214999999999,132.3107358298194,-0.2827812857765596,0,0.0
2018-10-04,6584.2,"6,509.2","6,653.0","6,487.8",9.31M,1.17%,6550.24,131.75879237629576,0.2577437102110967,0,0.0
2018-10-05,6639.1,"6,584.2","6,682.3","6,537.6",9.34M,0.83%,6556.245,132.99112940357614,0.6230114773186707,0,0.0
2018-10-06,6596.3,"6,639.1","6,661.5","6,550.4",9.18M,-0.65%,6561.05,132.59510390276887,0.2658469201536174,0,0.0
2018-10-07,6611.0,"6,596.3","6,633.9","6,523.8",77.06K,0.22%,6579.005,111.10009936532884,0.2879835408138673,0,0.0
2018-10-08,6669.6,"6,611.0","6,699.5","6,589.9",119.68K,0.89%,6595.385,97.6544405708022,0.7599756812511991,0,0.0
2018-10-09,6650.8,"6,669.6","6,678.9","6,613.3",80.79K,-0.28%,6608.405000000001,85.4871395377932,0.4959225472886132,0,0.0
2018-10-10,6618.0,"6,650.6","6,653.5","6,526.0",101.93K,-0.49%,6614.844999999999,80.75490192086677,0.0390688357604879,0,0.0
2018-10-11,6239.1,"6,618.0","6,622.5","6,206.2",245.28K,-5.72%,6588.465000000001,109.57141518824275,-3.188468446809732,1,0.0
2018-10-12,6291.3,"6,239.2","6,344.8","6,206.8",147.40K,0.84%,6566.55,122.88090297449854,-2.2399737740950894,1,1.0
2018-10-13,6321.7,"6,291.3","6,329.3","6,282.8",94.45K,0.48%,6547.43,129.90171223715285,-1.7376984191547864,1,1.0
2018-10-14,6326.8,"6,321.6","6,390.9","6,300.0",99.38K,0.08%,6534.5650000000005,138.5331777667147,-1.4997490373740632,0,1.0
2018-10-15,6699.8,"6,326.8","7,358.4","6,300.2",443.33K,5.90%,6547.3,141.55013989856022,1.0773567593030062,0,0.0
2018-10-16,6705.3,"6,712.4","6,836.7","6,645.4",155.85K,0.08%,6559.160000000001,144.47191823303746,1.0115460622892214,0,0.0
2018-10-17,6686.6,"6,718.9","6,745.9","6,637.8",136.71K,-0.28%,6559.030000000001,144.34986409136874,0.8837555948043849,0,0.0
2018-10-18,6574.1,"6,690.1","6,736.3","6,530.6",134.15K,-1.68%,6555.935,143.2722703366118,0.1267865718699236,0,0.0
2018-10-19,6512.0,"6,576.4","6,603.2","6,506.9",121.44K,-0.94%,6551.34,143.12660718486035,-0.2748615423349562,0,0.0
2018-10-20,6572.2,"6,511.7","6,593.7","6,495.9",97.77K,0.92%,6548.1900000000005,141.8716020693466,0.1692375334442425,0,0.0
2018-10-21,6583.0,"6,575.9","6,643.1","6,568.0",92.94K,0.16%,6546.93,141.42177715143595,0.2550526568576179,0,0.0
2018-10-22,6555.8,"6,583.0","6,612.7","6,529.5",101.57K,-0.41%,6547.225,141.43445152785864,0.0606287924007736,0,0.0
2018-10-23,6528.7,"6,558.6","6,573.6","6,500.5",108.86K,-0.41%,6548.27,141.20484970066073,-0.1385929735521615,0,0.0
2018-10-24,6530.7,"6,531.2","6,593.8","6,522.6",98.74K,0.03%,6545.594999999999,140.99496248947074,-0.105642072149293,0,0.0
2018-10-25,6507.0,"6,532.5","6,544.8","6,491.5",97.43K,-0.36%,6538.99,139.47002658574476,-0.2293682792146931,0,0.0
2018-10-26,6510.0,"6,507.0","6,570.5","6,498.5",97.17K,0.05%,6534.675,138.93760006047754,-0.1775977128528167,0,0.0
2018-10-27,6494.2,"6,510.0","6,534.0","6,473.7",76.72K,-0.24%,6528.835,138.01222018753106,-0.2509560381895035,0,0.0
2018-10-28,6486.1,"6,494.6","6,502.2","6,461.2",93.97K,-0.12%,6519.66,134.20878628401505,-0.2500581439502717,0,0.0
2018-10-29,6335.0,"6,486.1","6,498.4","6,310.5",160.52K,-2.33%,6503.870000000001,136.52512820582865,-1.2369151541495589,0,0.0
2018-10-30,6325.7,"6,336.7","6,469.9","6,316.5",128.21K,-0.15%,6489.255,139.28199896928953,-1.1742723482598978,0,0.0
2018-10-31,6365.9,"6,327.9","6,405.7","6,257.8",129.06K,0.64%,6495.594999999999,129.86329847001707,-0.9987040336107262,0,0.0
2018-11-01,6400.5,"6,365.9","6,421.8","6,354.2",124.16K,0.54%,6501.055,122.9324653065854,-0.81796944158911,0,0.0
2018-11-02,6424.7,"6,400.5","6,444.3","6,390.9",135.87K,0.38%,6506.205,117.03954561122114,-0.6963885546065024,0,0.0
2018-11-03,6386.2,"6,424.5","6,429.5","6,346.2",112.84K,-0.60%,6509.175,112.92882656106924,-1.088960221626835,0,0.0
2018-11-04,6478.2,"6,386.2","6,508.9","6,359.7",128.76K,1.44%,6498.094999999999,103.7384640386181,-0.1917803602007576,0,0.0
2018-11-05,6459.7,"6,478.2","6,489.2","6,431.7",128.51K,-0.29%,6485.8150000000005,91.76514803985168,-0.2845851672212145,0,0.0
2018-11-06,6502.8,"6,460.4","6,509.6","6,441.6",154.87K,0.67%,6476.625,78.90058951842406,0.3317465707133666,0,0.0
2018-11-07,6565.3,"6,503.1","6,594.3","6,502.0",170.76K,0.96%,6476.185,78.35102038120434,1.1373814861175506,0,0.0
2018-11-08,6474.0,"6,565.3","6,577.3","6,466.3",159.30K,-1.39%,6474.285,77.89622837323962,-0.003658713726604,0,0.0
2018-11-09,6412.0,"6,473.8","6,496.1","6,390.0",151.60K,-0.96%,6466.275,75.49747207365793,-0.718898242672908,0,0.0
2018-11-10,6427.1,"6,411.9","6,461.7","6,411.7",115.87K,0.24%,6458.4800000000005,70.70777966604695,-0.4437984073069179,0,0.0
2018-11-11,6446.1,"6,427.1","6,451.7","6,359.0",127.40K,0.30%,6452.995,66.91415926816536,-0.1030424662793282,0,0.0
2018-11-12,6435.0,"6,445.0","6,475.9","6,409.4",130.16K,-0.17%,6448.31,64.57397960590897,-0.2061201753590161,0,0.0
2018-11-13,6429.2,"6,435.0","6,466.8","6,386.7",137.60K,-0.09%,6443.235,61.6817577317734,-0.2275389112779801,0,0.0
2018-11-14,5842.4,"6,428.9","6,453.3","5,619.2",438.21K,-9.13%,6410.005,146.38453497206075,-3.877492933992889,1,0.0
2018-11-15,5718.9,"5,854.0","5,878.5","5,384.1",375.86K,-2.11%,6370.45,210.69750953999176,-3.092347894488671,1,1.0
